Client Name;AL HUDAYRIYAT ISLAND PDA ENABLING WORKS;C2;C3
Job Number;HUDAYRIYAT;;convert_nmdc_to_csv_00
Sounding Number;PRE-HUD-H22b;;
Cone Number;S15CFIIP.S19528;;
Location;HUDAYRIYAT;;
Operator;BALAJI.S;;
Date:;2022-06-20 00:00:00;;
Start Time;08:56:00;;
Time at penetration;09:02:58;;
Total time taken;00:06:58;;
Assumed GWL:;0;;
Reference level;;;
groundlvl;1.99;;
Pre-Drill:;0;;
Penetration Depth;6.1;;
Remarks;;;
Easting;235219.125;;
Northing;2702155.149;;
aratio;0.8;;
Beta Factor;1;;
;;;
;;;
;;;
Depth (m);qc (MPa);fs (MPa);u (MPa)
1.79;5.302700000000001;0.0468;-0.0044
1.8;5.291300000000001;0.0534;-0.0044
1.81;5.3049;0.0565;-0.0044
1.82;5.3185;0.057;-0.0044
1.83;5.3509;0.0575;-0.0044
1.84;5.5597;0.0596;-0.0044
1.85;5.7686;0.0601;-0.0044
1.86;6.086;0.0601;-0.0044
1.87;6.152900000000001;0.060000000000000005;-0.0044
1.88;7.1094;0.0599;-0.0044
1.89;7.7485;0.053200000000000004;-0.0043
1.9;9.2063;0.0483;-0.0043
1.91;10.8156;0.0434;-0.004200000000000001
1.92;11.7894;0.0429;-0.004
1.93;11.6042;0.033600000000000005;-0.0041
1.94;11.4191;0.029400000000000003;-0.0041
1.95;11.6479;0.0287;-0.004200000000000001
1.96;10.898900000000001;0.028300000000000002;-0.0041
1.97;8.4695;0.028200000000000003;-0.0041
1.98;7.307;0.028200000000000003;-0.0041
1.99;7.2914;0.028200000000000003;-0.004200000000000001
2.0;7.284800000000001;0.028200000000000003;-0.0043
2.01;7.286700000000001;0.028200000000000003;-0.0051
2.02;7.288600000000001;0.028200000000000003;-0.0067
2.03;7.309900000000001;0.028200000000000003;-0.007
2.04;7.335;0.027800000000000002;-0.0079
2.05;7.2515;0.0223;-0.0083
2.06;7.218;0.0253;-0.009000000000000001
2.07;7.1846000000000005;0.0175;-0.013300000000000001
2.08;7.5731;0.0152;-0.0175
2.09;6.7084;0.0128;-0.0175
2.1;6.4651000000000005;0.0142;-0.0195
2.11;6.4602;0.012;-0.0205
2.12;6.4581;0.011000000000000001;-0.020900000000000002
2.13;6.5373;0.01;-0.020300000000000002
2.14;6.6166;0.0099;-0.0216
2.15;6.9424;0.0097;-0.0222
2.16;7.1512;0.0091;-0.024800000000000003
2.17;6.7586;0.0085;-0.025400000000000002
2.18;6.7526;0.0077;-0.0263
2.19;6.750100000000001;0.007500000000000001;-0.026600000000000002
2.2;6.7499;0.007500000000000001;-0.0268
2.21;6.7553;0.007500000000000001;-0.0269
2.22;6.7607;0.007500000000000001;-0.0269
2.23;6.8087;0.0111;-0.027200000000000002
2.24;6.670800000000001;0.012100000000000001;-0.027600000000000003
2.25;6.4453000000000005;0.0126;-0.0281
2.26;6.203;0.013000000000000001;-0.0281
2.27;5.9198;0.0131;-0.0284
2.28;5.7812;0.0132;-0.0284
2.29;5.7206;0.0135;-0.030000000000000002
2.3;5.66;0.0142;-0.0304
2.31;5.6516;0.014400000000000001;-0.030600000000000002
2.32;5.5848;0.014400000000000001;-0.0309
2.33;5.4762;0.0145;-0.0309
2.34;5.472;0.0145;-0.0309
2.35;5.3258;0.0146;-0.031
2.36;5.1044;0.015000000000000001;-0.031
2.37;4.8246;0.015300000000000001;-0.031
2.38;4.3693;0.0155;-0.031
